S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
165,2023-03-20,447,GLICL,Gurans Life Insurance Company Ltd.,404.0000,404.0000,400.0000,,375,150690.0000,403.9000,721.0000,394.1000,2023-03-20T11:25:16.435947,400.0000,3,401.84,
166,2023-03-20,473,SHINE,Shine Resunga Development Bank Ltd.,334.0000,336.0000,332.1000,,1800,601450.0000,331.7000,424.0000,255.1000,2023-03-20T11:31:39.654356,332.1000,5,334.13,
167,2023-03-20,591,SHPC,Sanima Mai Hydropower Ltd.,323.7000,324.0000,322.0000,,3975,1285517.0000,319.0000,416.9000,250.0000,2023-03-20T11:34:56.340745,322.0000,20,323.40,
168,2023-03-20,682,MMFDB,Mirmire Laghubitta Bittya Sanstha Limited,610.1000,617.1000,605.0000,,208,126897.3000,610.0000,1350.0000,605.0000,2023-03-20T11:31:08.295173,617.1000,5,610.08,
169,2023-03-20,1741,MERO,Mero Microfinance Bittiya Sanstha Ltd.,565.0000,565.0000,564.0000,,20,11290.0000,556.1000,1089.9000,556.0000,2023-03-20T11:27:23.886061,564.0000,2,564.50,
170,2023-03-20,2757,AKPL,Arun Kabeli Power Ltd.,404.0000,409.6000,404.0000,,5246,2137069.0000,407.0000,530.0000,325.0000,2023-03-20T11:35:23.354780,407.0000,44,407.37,
171,2023-03-20,2815,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,731.0000,759.0000,731.0000,,30,22350.0000,731.0000,1225.0000,706.0000,2023-03-20T11:33:13.306457,759.0000,3,745.00,
172,2023-03-20,2862,CMF2,CITIZENS MUTUAL FUND 2,7.8400,7.8400,7.8400,,200,1568.0000,8.0000,10.7600,7.2400,2023-03-20T11:26:10.114616,7.8400,1,7.84,
173,2023-03-20,8018,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,863.9000,931.7000,863.9000,,1615,1494516.5000,847.0000,1460.0000,740.0000,2023-03-20T11:30:42.719978,913.0000,47,925.39,
174,2023-03-20,8132,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,1390.0000,1409.0000,1390.0000,,70,98240.0000,1390.0000,2485.2000,906.0000,2023-03-20T11:33:53.794810,1400.0000,7,1403.42,
175,2023-03-20,9147,SPL,Shuvam Power Limited,565.0000,610.9000,534.4000,,9537,5618534.8000,567.6000,567.6000,265.0000,2023-03-20T11:34:50.427807,590.0000,485,589.13,
176,2023-03-20,132,NIMB,Nepal Investment Mega Bank Limited,192.0000,194.0000,190.2000,,2857,549565.0000,190.9000,408.4900,189.7000,2023-03-20T11:34:42.205184,191.0000,31,192.35,
177,2023-03-20,154,CHCL,Chilime Hydropower Company Limited,466.0000,471.0000,466.0000,,2684,1261514.0000,469.0000,504.1000,347.9000,2023-03-20T11:33:31.390928,470.0000,15,470.01,
178,2023-03-20,273,ICFC,ICFC Finance Limited,433.8000,433.8000,430.0000,,1298,560117.0000,427.0000,665.0000,363.0000,2023-03-20T11:32:56.062348,430.0000,11,431.52,
179,2023-03-20,348,CZBIL,Citizens Bank International Limited,179.0000,180.9000,179.0000,,3733,672388.9000,179.0000,278.0000,175.0000,2023-03-20T11:32:08.886127,180.9000,14,180.12,
180,2023-03-20,610,RIDI,Ridi Power Company Limited,348.0000,353.0000,343.1000,,4342,1510847.4000,342.0000,838.0000,334.7000,2023-03-20T11:31:11.286596,343.1000,22,347.96,
181,2023-03-20,2754,DHPL,Dibyashwori Hydropower Ltd.,234.4000,234.4000,232.0000,,110,25544.0000,229.9000,327.0000,160.1000,2023-03-20T11:26:06.552511,232.0000,2,232.21,
182,2023-03-20,2776,RADHI,Radhi Bidyut Company Ltd,262.1000,267.0000,262.1000,,1444,383708.1000,262.0000,699.0000,195.3000,2023-03-20T11:30:02.725067,264.0000,18,265.72,
183,2023-03-20,2831,UNHPL,Union Hydropower Limited,239.7000,239.7000,233.1000,,283,66819.8000,235.0000,367.0000,165.1000,2023-03-20T11:21:31.890242,239.6000,11,236.11,
184,2023-03-20,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,302.0000,308.0000,302.0000,,1050,319707.0000,306.0000,385.0000,210.0000,2023-03-20T11:34:06.458006,306.1000,13,304.48,
185,2023-03-20,2860,SAPDBL,Saptakoshi Development Bank Ltd,251.0000,251.0000,250.9000,,34,8531.6000,247.9000,360.9000,178.1000,2023-03-20T11:19:37.658137,250.9000,2,250.92,
186,2023-03-20,2881,NRIC,Nepal Reinsurance Company Limited,738.9000,783.3000,726.2000,,6200,4615673.3000,726.1000,1232.7000,565.0000,2023-03-20T11:35:18.538494,739.0000,47,744.46,
187,2023-03-20,2907,SSHL,Shiva Shree Hydropower Ltd,228.1000,235.0000,228.1000,,3847,901032.4000,231.0000,382.0000,155.1000,2023-03-20T11:32:25.589980,233.0000,19,234.21,
188,2023-03-20,2915,PLI,Prabhu Life Insurance Limited,421.0000,444.0000,421.0000,,224,96529.0000,428.0000,651.2000,321.8000,2023-03-20T11:34:57.255051,431.0000,17,430.93,
189,2023-03-20,4947,PSF,Prabhu Select Fund,7.7900,7.7900,7.7900,,100,779.0000,7.7500,9.8300,7.3100,2023-03-20T11:35:02.664529,7.7900,1,7.79,
